"name";"answer";"questions";"rcounts"
"4. Техническая поддержка (support@pnu.edu.ru)";Для получения кода для первого входа в portal.khstu.ru, вам нужно обратиться к Долгачеву Михаилу Владимировичу 409ц;Прошу назначить логин и пароль для входа в личный кабинет сотруднику кафедры вычислительной техники: Гадоев Сабзаали Мухшулович (006884@pnu.edu.ru)  С уважением,  зав. кафедрой ВТ  С.В. Сай      IP-адресс: 10.10.100.114=====Здравствуйте!  в соответствии с приказом от 06.10.2021 г. № 036/635 к. в  Управление международной деятельности принят новый сотрудник Будлянская  Татьяна Ивановна. Прошу Вас выдать логин/пароль от Портала ТОГУ и Lotus      С* уважением, Будлянская Наталья Ивановна*  *специалист отдела международного сотрудничества*  *Управление международной деятельности*    *Тихоокеан;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для регистрации в личном кабинете, вам необходимо получить код регистрации.  Студентам университета код выдается в деканате своего факультета.  https://portal.pnu.edu.ru/accounts/register/;Здравствуйте, я студент 1-го курса заочной формы обучения группы «Строительства» Приходько Дмитрий Олегович на сегодняшний день у меня отсутствует корпоративная почта, логин и пароль электронного личного кабинета. В связи с этим прошу выслать на данный электронный адрес данные для доступа к личному кабинету и корпоративной почте.       --  Дмитрий Олегович=====Добрый день. Являюсь студентом Вашего университета, Теплякова Наталия Андреевна, приказ о зачислении № 120/1278 от 25.10.2021 г.  Прошу уточнить, каким образом я могу войти в личный кабинет, у меня н;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для регистрации в личном кабинете, вам необходимо получить код регистрации.  Студентам университета код выдается в деканате своего факультета.;Добрый день, не могу зайти в личный кабинет студента, не могли бы Вы  прислать мне актуальные для входа данные?    <https://www.avast.com/sig-email?utm_medium=email&utm_source=link&utm_campaign=sig-email&utm_content=webmail>  Без  вирусов. www.avast.ru  <https://www.avast.com/sig-email?utm_medium=email&utm_source=link&utm_campaign=sig-email&utm_content=webmail>  <#DAB4FAD8-2DD7-40BB-A1B8-4E2AA1F9FDF2>=====Здравствуйте, скажите пожалуйста, как мне получить код для входа в личный  кабинет студента? Обучаюсь дистанционно=====вт, 9 нояб. 2021 г., 13:35 <support@pnu.edu.ru>:    > Здравствуйте! Не забудьте прочесть письмо до конца!  >  > Настоящим мы подтверждаем, что получили Ваше сообщение.  > Мы обработаем Ваш ;6
"4. Техническая поддержка (support@pnu.edu.ru)";Документы подписаны ЭЦП и размещены;"08.03.01 -АД-2020-РПД, ФОС для автомоб. дорог.rar  <https://drive.google.com/file/d/16SATn70xwlaU29oWNdhjzTfmIdovgBou/view?usp=drive_web>    08.03.01 ГИА АД (3++) (4).pdf  <https://drive.google.com/file/d/1o5XkwB_R7qcgeoHpVMyZvJ9vSHbEgmYp/view?usp=drive_web>    08.03.01 ОХОП АД (3++) (2).pdf  <https://drive.google.com/file/d/1DmIgQkkCkuWXuqEeJUkOP6A5AQolZl1u/view?usp=drive_web>    08.03.01 ПП АД (3++) (2).pdf  <https://drive.google.com/file/d/12KAt1OvsdkXH86EsE6UWnfy5ybP7qWyb/view?usp=drive_web>    27.04.04_УТС_2022_Аннотации.pdf  <https://drive.google.com/file/d/1OzmVpSlqchgcu9PYJ4boICSzRh1E4DZq/view?usp=drive_web>    29.03.04 Аннот. раб. пр. О ТХОМ ++ 19.pdf  <https://drive.google.com/file/d/1x63undOqyRdH1Qq_LhoYWTcUf_4vMy7v/view?usp=drive_web>    40.03.01_Ю_ГП_2019_Аннотации.pdf  <https://drive.google.com/file/d/1s6a0npz5o8k52z_ve8-uRDEkkv7mGCrM/view?usp=drive_web>    40.03.01_Ю_ГрП_2019_Аннотации.pdf  <https://drive.";3
"4. Техническая поддержка (support@pnu.edu.ru)";Доступ в личный кабинет останется с ограниченым функционалом, пропуск будет заблокирован  Система автоматизирована, технической возможности не предусмотренно для исключений.  ;Здравствуйте!  Меня по приказу увольняют 31.08.2022.  Но с 01.09.2022 вновь принимают на должность делопроизводителя кафедры ЭАТ.  Прошу сохранить доступ в ТОГУ по электронному пропуску и в портал https://portal.pnu.edu.ru/ по существующему логину      IP-адрес: 10.10.100.114=====Здравствуйте!  Меня по приказу увольняют 31.08.2022.  Но с 01.09.2022 вновь принимают на ту же должность (доцент кафедры ЭАТ).  Прошу сохранить доступ в ТОГУ по электронному пропуску и в портал https://portal.pnu.edu.ru/ по существующему логину      IP-адрес: 10.10.100.114;2
"4. Техническая поддержка (support@pnu.edu.ru)";Доступ предоставлен, проверьте личный кабинет;"Как получить доступ к портфолио студентов-выпускников для их рецензирования и оценивания?      IP-адресс: 164.138.93.100=====Добрый день.  Прошу дать Евгению Шишкину номер дела 004655 права  ответственного по НИР на кафедре ТТС    --   С уважением,  Ким Дин Су (Ким Денис),  аналитик Департамента научных исследований ФГБОУ ВО ""ТОГУ""  012457@pnu.edu.ru";2
"4. Техническая поддержка (support@pnu.edu.ru)";"Если Вам не пришло сообщение для подтверждения учетной записи или Вы не можете войти в ""Личный кабинет абитуриента"", воспользуйтесь формой восстановления пароля http://pnu.edu.ru/ru/applicant/cabinet/reconfirm/     Обращаем Ваше ВНИМАНИЕ!!!   Анкета требует уникальности введенного номера телефона и Email адреса. В случае повторного возникновения ошибки пришлите скриншот в службу технической поддержки (support@pnu.edu.ru)";--  Юген Ли  Отправлено из Почты  Mail.ru    Здравствуйте, я хотела зарегистрироваться в личном кабирете абитуриента, пришла ссылка, но пишет, что код не активен=====89143706520 Бабичева Юлия Сергеевна   --  Отправлено из Mail.ru для Android=====Добрый день! Мне отправили ссылку на регистрацию для подтверждения учётной записи, но по ней пройти не могу, она не активна. Активация не удалась!  Какие мои дальнейшие действия? Мне необходимо подтверждение для подачи документов при поступлении…        Отправлено из мобильной Почты Mail.ru=====Добрый день!   Зарегистрировалась в личном кабинет;41
"4. Техническая поддержка (support@pnu.edu.ru)";Если при входе в личный кабинет выходит сообщение: Неверный пароль или имя пользователя, то вам необходимо указать верные данные или заново пройти процедуру регистрации, перейдите по данной ссылке, там подробно описан механизм получения кода для регистрации. https://portal.khstu.ru/accounts/register/ Если проблема другого характера то пожалуйста полностью опишите проблему, желательно еще предоставить print screen, тогда ваша проблема будет решена намного быстрее.;   Здравствуйте, мне не приходит пароль от личного кабинета я много раз пыталась уже   мне нужно посмотреть баллы, как мне в него войти ?  --  Галина Карпова  Отправлено из Почты  Mail.ru=====Здравствуйте , могли бы вы удалить мой аккаунт в тогу в личном кабинете , на сайте . Не могу зайти в свой кабинет . Создать новый тоже не могу       Отправлено из мобильной Почты Mail.ru=====Здравствуйте!  Не могу вспомнить пароль,мне письмо не приходит с инструкцией,чтобы  изменить его.=====студент Лощинин Валентин Владимирович, ЗФ, группа ЗЧС(аб)з-71.  Ранее регистрировался на портале, но ;13
"4. Техническая поддержка (support@pnu.edu.ru)";Задача давно решена. Забыл закрыть.;Здравствуйте    магистрант заочник не может зарегистрироваться в личном кабинете студента.  Прошу техподдержки: пересылаю его обращение    С уважением, замдиректора ИЭУ Кулик И.В.      ---------- Forwarded message ---------  От: Владимир Дударко <livestar88@mail.ru>  Date: чт, 5 нояб. 2020 г. в 15:17  Subject: Re: Регистрационные данные  To: Иван Кулик <kulivan@pnu.edu.ru>      Здравствуйте! при регистрации выдает следующее:    Учетная запись находится в архиве по причине увольнения или отчисления из  университета. Сотрудникам необходимо обратиться в отдел кадров для  уточнения информации. Студентам обращаться в ;2
"4. Техническая поддержка (support@pnu.edu.ru)";Задача давным давно решена. Забыл закрыть.;Здравствуйте.    Прошу рассмотреть заявление студентки и оказать техподдержку.    С уважением, Кулик И.В.    ---------- Forwarded message ---------  От: Александр Зубарев <000008@pnu.edu.ru>  Date: чт, 12 нояб. 2020 г. в 08:29  Subject: Fwd:  To: <kulivan@pnu.edu.ru>          Отправлено с iPhone    Начало переадресованного сообщения:    *От:* Александра Дзюба <2018103652@pnu.edu.ru>  *Дата:* 11 ноября 2020 г., 20:50:35 GMT+10  *Кому:* Александр Зубарев <AZubarev@pnu.edu.ru>    Добрый день! Я, Дзюба Александра Сергеевна, студентка группы Фк(аб)з-91,  заочная форма обучения. Ранее обучалась в группе Фк(аб)оз-81 Очно-заочная  форма обуч. Была переведена на заочную форм;2
"4. Техническая поддержка (support@pnu.edu.ru)";заполните повторно, нажмите правой кнопкой мыши - Сохранить страницу как  Затем отправьте сохраненный файл;"Повторно сообщаю, что не происходит отправка данных, после нажатия кнопки ""отправить""      IP-адрес: 37.29.88.37=====Ответ пришел из поддержки проверить. Проверила - не работает.      IP-адрес: 185.3.181.177";2
"4. Техническая поддержка (support@pnu.edu.ru)";Здравствуйте вам необходимо сменить пароль от личного кабинета  https://portal.khstu.ru/accounts/password_change/;Здравствуйте. Я студен ТОГУ группы МБ(пб-91)з Немцев Евгений Сергеевич.. У  меня проблема не могу зайти на корпоративную почту. Помогите разобраться. В  учебной части говорят что я не зарегистрирован на почте. При в Ворде логина  почта пишет что логин не найден.=====Прошу восстановить доступ к корпоративной почте ТОГУ (2020100676@pnu.edu.ru  - адрес корпоративной почты)=====Тюрина Евгения ЗМУ(аб)з-01 не могу зайти на почту   2020101518@pnu.edu.ru  пишет что удалено  --  Тюрина Е.В.=====Прикладываю скриншоты. нажимаю на почта получаю неправильный адрес.  [image: Новый точечный рисунок.bmp][image: п;77
"4. Техническая поддержка (support@pnu.edu.ru)";Здравствуйте вам необходимо сменить пароль от личного кабинета  https://portal.pnu.edu.ru/accounts/password_change/;Здравствуйте, не работает корпоративная почта, появляется сообщение об ошибке (скриншот прикреплен).       IP-адресс: 188.162.228.231=====Здравствуйте,я не могу войти на портальную почту.  Не могли бы вы решить эту проблему?      IP-адресс: 80.83.234.87===== Не могу зайти в раздел почта на портале      IP-адресс: 85.15.118.98;3
"4. Техническая поддержка (support@pnu.edu.ru)";Здравствуйте необходимо сменить пароль от личного кабинета  https://portal.khstu.ru/accounts/password_change/;Здравствуйте я Лютина Екатерина староста группы УгП(аб)з-61, у моей  студентки Василец Виктории нет возможности зайти на почту, она не работает  и выходит вот такое сообщения=====Студент Аблаев Демид (ОНГабз-01) не может зайти на занятие через ссылку гугл. Ему пишут, что пропала его учетная запись. А раньше было всё нормально. В личный кабинет он входит.       IP-адресс: 95.70.44.137=====Добрый день.  У студента гр. ГП(аб)з-61 не работает почтовый ящик, выдает ошибку, когда наживаешь почту.  Студент писал в службу поддержки, но пока не ответили ему. Клёвов А. Н.  Скоро госэкзамен в;3
"4. Техническая поддержка (support@pnu.edu.ru)";изменения внесены, проверьте через 30 минут;Здравствуйте.  В разделе Трудоустройства https://portal.pnu.edu.ru/recruitments/recruitment_management/ (анкеты выпускников), в подразделе задачи (выгрузка в эксель) произошел сбой. Когда идет выгрузка в эксель, то группа КБ(с)-61 отсутствует и группа ГД(с)-61 есть, но данные отсутствуют. Хотя на сайте информация есть. Устраните, пожалуйста, проблему.      IP-адресс: 10.10.100.114=====Здравствуйте.  В разделе анкеты выпускников https://portal.pnu.edu.ru/recruitments/recruitment_management/#,  при выгрузке Excel файла отсутствует группа КБ(с)61 (всего один человек, их больше - 9). Укажите, пожалуйста, на ошибку.      IP-адресс: 10.10.100.114=====На се;4
"4. Техническая поддержка (support@pnu.edu.ru)";Исправления внесены.;"https://pnu.edu.ru/ru/faculties/additional/fppk/programs/  .здравствуйте,можно на странице удалить цифру ""3"" внизу.Спасибо.    также на странице https://pnu.edu.ru/ru/faculties/additional/ исправить  электронную почту во так:    За дополнительной информацией обращаться в Департамент дополнительного  образования по телефону: 8(4212)75-78-48 – кампус на ул. Тихоокеанской, 136.  *e-mail: *fppk@pnu.edu.ru    и на этой же странице добавить где *Профессиональное обучение*  <https://pnu.edu.ru/ru/faculties/additional/fppk/programs/vocational-training/>  :    *Профессиональное обучение*    Ø Автомобильная отрасль    Ø Педагогическая деятельность    Ø  Экологическая безопас";27
"4. Техническая поддержка (support@pnu.edu.ru)";"логин:2022100675  пароль:Cdhcsk27_;  почта гугл работает";Я не могу пройти туда у нас первый семестр осенний проходит цистанционно        Доброго дня.  ---  С уважением  Толмачёв Валерий Владимирович.         >Среда, 18 января 2023, 12:25 +10:00 от support@pnu.edu.ru:  >   >Здравствуйте!  >пройдите в 119 цв Тогу главный корпус  >----------------------------------------------------------------------  >С уважением, группа технической поддержки ТОГУ  >support@pnu.edu.ru   =====      Доброго дня.     Нет возможности работь с электронной почтой Скрин 1.     Пытаюсь перейти. Выходит ошибка крин 2.     Фото в закрепе     С уважением  Толмачёв Валерий Владимирович.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Можете удолять из расписания, кнопка появилась.;"Здравствуйте! ФФПиМК:  группа ФР(б)-11 во вторник удалить пару  группа не набралась.  ФЛ(б)-11 среда 2 пара лишняя  ФЕНМиИТ группа ПОМИ(б)-01 пятница 1 пара числитель лишняя пара    --   С Уважением,  специалист по УМР Елена Валентиновна Цой  раб т. (4212) 42-06-99=====При составлении расписания группа ПОБХ(б)-01 была разбита на подгруппы. Затем из-за снижения контингента разбивку на подгруппы в АИС ""Нагрузка Вуза"" убрали. В расписании были внесены изменения, но убрать полностью занятия, которые ушли не получается. Уберите пустые строки в расписании ПОБХ(б)-01        IP-адресс: 10.0.12.54";2
"4. Техническая поддержка (support@pnu.edu.ru)";напишите на электронный адрес  fdpo-po@pnu.edu.ru;"--   Отправлено из мобильного приложения Яндекс.Почты=====Добрый день, имеется ли возможность отправить удостоверения о прохождении  курсов (противодействие коррупции; управление образовательной организацией)  не по месту жительства, а сразу на адрес университета?    --   С уважением, Шитов Андрей Константинович  Старший преподаватель кафедры права и методики его преподавания ФГБОУ ВО УрГПУ,  заместитель директора Института общественных наук ФГБОУ ВО УрГПУ  тел: 8  (343) 336-14-55";2
"4. Техническая поддержка (support@pnu.edu.ru)";Не беспокойтесь, происходит обновление базы;Добрый день!  Подскажите пожалуйста, у меня личный кабинет был заблокирован.    Его можно как-нибудь разблокировать?    Заранее благодарю=====Здравствуйте, производила оплату за обучение 14 августа за 7 семестр  студентка Абричкина Анна Андреевна ПОНБ (с)-01., заходя в свой личный  кабинет пишет что отчислена по причине не уплаты, все скрины прилагаю.=====Я, Гаевая Татьяна Евгеньевна, студентка группы ПОНБ(с)-21, сегодня  обнаружила, что моя учетная запись на портале ТОГУ находится в архиве по  причине отчисления=====Ваша учётная запись находится в архиве по причине от;19
"4. Техническая поддержка (support@pnu.edu.ru)";Не обработан приказ о приёме Вас на работу. Нет активных карточек сотрудника ППС. Это вопрос к кадрам.;"Доброе время суток!  Сегодня, т.е. 01.09.2022 г., у меня в личном кабинете перестал отображаться журнал преподавателя со списками всех групп и студентов.       IP-адрес: 85.15.106.176=====в личном кабинете нет журнала посещений      IP-адрес: 10.0.52.127=====Здравствуйте, уважаемые специалисты!    В связи с связи с успешным прохождением по конкурсу на 1,0 ставки доцента  по кафедре ""Инженерные системы и техносферная безопасность"", прошу открыть  доступ к электронному журналу преподавателя в личном кабинете по адресу  portal.pnu.edu.ru.    С уважением,    канд. техн. наук, доцент,    доцент кафедры ""Ин";5
"4. Техническая поддержка (support@pnu.edu.ru)";Необходимо в верхней части личного кабинета, слева надпись Разделы, выбрать правильное подразделение;Здравствуйте! Не открываются ведомости преподавателей кафедры ФКиС у  зав.каф. Чернышева В.П. Люди волнуются. Прошу прояснить ситуацию и открыть  заведующему ведомости эффективного контракта преподавателей кафедры, что он  отправил их по инстанции. С уважением Чернышев В.П.=====Прочел письмо до конца. Проблема лишь в том, что у зав.каф. нет (!)  ведомостей преподавателей. А на проверку ведомости должны идти только через  зав.каф.    ср, 28 июн. 2023 г. в 16:15, <support@pnu.edu.ru>:    > *Это автоматическое уведомление*  >  > Здравствуйте! Не забудьте прочесть письмо до конца!  >  > Нас;2
"4. Техническая поддержка (support@pnu.edu.ru)";Необходимо использовать учетную запись преподавателя а не студента  012921 - её новый логин. Код регистрации можно получить в 409ц.;Меня зовут Новоселова Ольга Анатольевна, я аспирантка и с этого года преподаю в ТОГУ по совместительству.  в начале сентября в личном кабинете у меня появились новые блоки информации, как у преподавателя - журнал и расписание, но не появилось новых разделов.  из-за этого я не могу заполнить индивидуальный план для эффективного контракта. сперва я думала, что это временное явление и появление новых разделов происзодит постепенно. Однако, остальных разделов не появилось, а в журнал я не могу зайти из-за недостаточных прав доступа.  13. 09 я написала в тех поддер;2
"4. Техническая поддержка (support@pnu.edu.ru)";необходимо проверить в сесии наличие часов;Прошу обновить аудиторные часы по предмету студенту Миртюку А.А., скрин  проблемы прилагаю  С уважением специалист 1 категории по УМР ИСИ Цой Е.А.=====Прошу обнулить часы по дисциплине Инженерная графика у студента группы  ПГС(аб)з-61 Савина А.А в 1 семестре, т.к во 2 семестре стоят уже общие часы  по данной дисциплине.Скрин прилагаю.  С уважением специалист 1 категории по УМР ИСИ Цой Е.А.=====Прошу обновить часы в лотусе по дисциплине Информатика у студентки  ПГС(аб)з-61 Сиренко К.В.(Старкова).Скрин прилагаю.  С уважением специалист 1 категории по УМР ИСИ Цой Е.А.;3
"4. Техническая поддержка (support@pnu.edu.ru)";Необходимо системный блок доставить в ауд.103ца;"Степанов Ю. В. Санаторий профилакторий ТОГУ. Кабинет 37. Время обнаружения  проблемы: 8:30.    вт, 24 окт. 2023 г., 9:15 <support@pnu.edu.ru>:    > *Это автоматическое уведомление*  >  > Здравствуйте! Не забудьте прочесть письмо до конца!  >  > Настоящим мы подтверждаем, что получили Ваше сообщение.  > Мы обработаем Ваш запрос и свяжемся с Вами при первой возможности.  > Вашему запросу был присвоен номер 76576.  >  > *!!!ВНИМАНИЕ!!!*  > Для того чтобы специалисты как можно яснее восприняли ваш запрос и решили  > проблему, необходимо соблюсти несколько *важных правил*:  > 1 - Приложите ""скриншот экрана ";2
"4. Техническая поддержка (support@pnu.edu.ru)";Необходимо сменить пароль от личного кабинета;Уважаемые коллеги, здравствуйте! Адресую Вам вопрос студентки 1 курса  группы Ж(пб)-02 Григорьевой Юлии. Я являюсь куратором в этой группе. У  студентки возникла проблема с электронной почтой. При попытке ее открыть  программа выдает, что адрес эл.почты неправильный (скриншот во вложении).  При этом в личный кабинет она заходит, используя данный логин и пароль.  Прошу помочь в устранении проблемы. Заранее спасибо.  И.Ю. Ковальчук,  старший преподаватель кафедры журналистики=====Добрый день, вся группа не может войти в почту, в моем случае 2020100464@pnu.edu.ru, для связи с п;2
"4. Техническая поддержка (support@pnu.edu.ru)";Никаких изменений в пропускной системе по Вашей карте не было, должна работать. Попробуйте пройти на разных турникетах, плотнее прикладывая карту к считывателю, либо оформите перевыпуск карты в отделе кадров, если она сломалась.;Доброе утро! Перестала работать кампусная карта 2200 2460 1090 3816 Ким  Александра Сергеевна    --   С уважением, Ким Александра Сергеевна  специалист Отдела международного образования УМД  ФГБОУ ВО «Тихоокеанский государственный университет»,  680035, г. Хабаровск, ул. Тихоокеанская 136, оф.113 левая  (4212) 73-40-15, 73-06-49=====Здравствуйте!    Карта 2200240731227704  не работает пропуск.=====Уважаемые коллеги!  Не сработала кампусная карта при входе в университет.  Данные карты 2202240488066800 Сытникова Т.А.    --   С уважением,  Начальник управления международной деятельности  Татьяна Сытникова  (4212) ;4
"4. Техническая поддержка (support@pnu.edu.ru)";Нужно пройти по ссылке: https://portal.pnu.edu.ru/person_manager/personal_management/;С уважением,  Карплюк Александр Федорович,  начальник Управления информатизации,  Тихоокеанский государственный  университет  e-mail: afk@pnu.edu.ru  Тел.: +7 (4212) 761-730  Моб.: +7  914 541 20 79      ---------- Forwarded message ---------  От: Галина Медведева <010740@pnu.edu.ru>  Date: чт, 20 мая 2021 г. в 04:08  Subject: Re: Fwd: ФДПО для ФИС ФРДО - данные с базы Кадры [Обращение  (Внеплановое) #56209]  To: Александр Карплюк <005146@pnu.edu.ru>      Права для работы с отчетом необходимы Ивановой Наталии Владимировне (вед.  документовед ФДПО) и Медведевой Галине Геннадьевне.    ср, 19 мая 2021 г. в 21:06, Александр Карплюк <005146@pnu.edu.ru>:    >  > ---------- Forwarded messag;2
"4. Техническая поддержка (support@pnu.edu.ru)";Обновите страницу Журнала в браузере (ctrl+F5).;День Добрый.  Не могу поставить зачет в электронной ведомости группа А(аб) -62. Лугина.. Зачет в группе 15.01.21.        IP-адресс: 92.37.143.227=====Добрый день! факультет изобразительных искусств и дизайна, группа  ПОИТ (аб)-91, дисциплина-  пластическая анатомия и пластическое  моделирование. Не вставляется оценка в экзаменационной ведомости и в  журнале преподавателя. Разблокируйте, пожалуйста.=====не выставляются оценки в журнале      IP-адресс: 85.15.114.232;3
"4. Техническая поддержка (support@pnu.edu.ru)";Обратитесь в студенческий офис  243л, 245л  tsdk@pnu.edu.ru  010936@pnu.edu.ru  (4212) 76-85-24;Здравствуйте! Хочу узнать, когда будут выдавать кампусные карты первым курсам магистратуры Педагогического Института?      IP-адрес: 85.15.109.73=====Здравствуйте, у меня уже год не работают кампусная карта, поэтому я ее заблокировала. Можно ли получить новую?      IP-адрес: 128.204.64.13;2
"4. Техническая поддержка (support@pnu.edu.ru)";Обратитесь в студенческий офис(245л);Подскажите пожалуйста как получить кампусную карту и где      IP-адрес: 79.171.115.14=====Я потерял кампусную карту, заблокировал ее, куда я могу обратиться чтобы сделать новую?      IP-адрес: 85.15.107.238=====Потерялась карта. Можно ли ее восстановиться, если да, то как и где можно забрать? Данные- Гаснаш Полина Руслановна 02.10.2003 группа А11      IP-адрес: 89.113.101.230=====Подскажите, как восстановить кампусную карту      IP-адрес: 188.168.118.19;4
"4. Техническая поддержка (support@pnu.edu.ru)";Обратитесь, пожалуйста, к Вашему преподавателю.;Здраствуйте, я студентка факультета ФАИТ группы ЛП(б)-01 и в то же время института ИСИ группы С(б)-23. У меня на ЭУКе сегодня пропал доступ ко всем курсам группы ЛП(б)-01 и остались только курсы группы С(б)-23. Верните пожалуйста мне доступ ко всем курсам к которым я была прикреплена на сегодняшний день группы ЛП(б)-01      IP-адрес: 85.26.241.117=====Здраствуйте, я студентка факультета ФАИТ группы ЛП(б)-01 и в то же время института ИСИ группы С(б)-23. У меня на ЭУКе сегодня пропал доступ ко всем курсам группы ЛП(б)-01 и остались только курсы группы С(б)-23. Верните пожалуйста мне доступ к;2
"4. Техническая поддержка (support@pnu.edu.ru)";обращайтесь в отдел кадров для предоставления доступа;Не могу в программе заполнить график отпусков, программа не активна      IP-адрес: 10.10.100.114=====Добрый день.  Прошу предоставить доступ к редактированию графика отпусков сотрудников департамента дополнительного образования директору ДДО Рудецкой А.В.      IP-адрес: 10.23.9.124;2
"4. Техническая поддержка (support@pnu.edu.ru)";Отдел автоматизации информационных систем больше не сопровождает данный сайт;Уважаемые коллеги, добрый день, просим внести следующие изменения на  сайте Совета ректоров вузов Хабаровского края и ЕАО:    --1) на сайте Совета в разделе Состав Совета/Члены Совета добавить двух  членов:    Хлебникова Виктория Георгиевна министр образования и науки Хабаровского края    Романов Евгений Владимирович министр промышленности и торговли Хабаровского  края.        2) В «шапке» сайта 48 лет со дня основания заменить на 50 лет со дня  основания.        3) В раздел Новости и анонсы добавить 2 новости    1) от 13 апреля о проведении выездного заседания с фото  (инфо;2
"4. Техническая поддержка (support@pnu.edu.ru)";Ошибка была устранена. Повторите попытку восстановления пароля.;Здравствуйте. Я уже обращалась с проблемой по поводу входа в личный кабинет (03/05/2021г). На моё обращение был дан ответ 11.05.2021г «Откройте страницу в новой вкладке» (не помогло). На сегодняшний день проблема всё ещё существует с входом в личный кабинет. При введении пароля-пишет, что неверный пароль, нажимаю «забыли пароль?», далее ввожу свой email и выдаёт ошибку. Скрины прилагаю. Проблема актуальна 31.05.2021 время 17:57(Екб,-5ч).     Ходаковская Ирина Сергеевна, студентка ИСИ (дистанц.обучение).  --  Ирина Ходаковская   =====Не могу войти и восстановить логин пароль, ошибку пи;2
"4. Техническая поддержка (support@pnu.edu.ru)";Перейдите в раздел учебные планы https://portal.khstu.ru/plans/plans/ Для проставления id  курса необходимо выбрать дисциплину и нажать кнопку проставить идентификатор;Добрый день. Прошу ID курсов  для синхронизации учебных планов=====Здравствуйте.  Нам необходим доступ для ввода ID курсов в актуальные учебные планы по  направлениям 21.03.02 и 21.04.02 Землеустройство и кадастры  --   С уважением,  Алла Владимировна Вдовенко  завкафедрой геодезии и землеустройства  Тихоокеанский государственный университет  канд. техн. наук., доцент=====Прошу предоставить  доступ для ввода ID курсов в актуальные учебные планы.    С уважением,  ст. преподаватель кафедры ДПО  Яворская Е.В.=====Добрый вечер , не отображаются галочки справа (режим редактирован;6
"4. Техническая поддержка (support@pnu.edu.ru)";Перейдите на сайт https://pnu.edu.ru/  затем попробуйте снова зайти eos.pnu.edu.ru;Не загружается эос, уже 2 дня      IP-адресс: 37.146.124.103=====Добрый день    Не могу зайти в электронную обучающую среду.  Скан экрана прилагаю.  Рядом со мной сотрудник в ней работает.  Я повторял несколько раз. Перезагружался.  Эффекта нет.  Работал сейчас в Zoom студент тоже пожаловался, что не может зайти.  Посоветуйте - как устранить неисправность?      С уважением    Попов Е.=====29 декабря 2020-го года, примерно в 11 часов утра, пропала возможность заходить на сайт дистанционного обучения.      IP-адресс: 93.177.13.39=====Не могу войти уже второй день, пробовал через разные устройства=====;7
"4. Техническая поддержка (support@pnu.edu.ru)";перейдите по ссылки и попробуйте восстановить пароль  https://pnu.edu.ru/ru/applicant/cabinet/reconfirm/;--  Отправлено из Mail.ru для Android=====   Здравствуйте. У меня случилась проблема. Сообщение о подтверждении почты пришло,но уведомление об это пришло в тот момент, когда ссылка была уже не рабочей. Скажите ,пожалуйста, как поступить в данной ситуации=====Добрый день. У меня не получается зарегистрироваться в личном кабинете. Прохожу по направленной мне ссылке, а в ответ — ошибка активации. Что делать?        С уважением,  эдуард солодухин  solodukhin_eduard@mail.ru=====Здравствуйте, 5 июля был создан личный кабинет и должно было прийти  подтверждение на почтовый ящик, но так и не п;32
"4. Техническая поддержка (support@pnu.edu.ru)";Повторно (см. 8.04.2020, 14.04.2020) сообщаем Вам о сборе информации для  организации удаленного доступа работников к информационным сервисам,  системам и ресурсам университета для выполнения задач по управлению  бизнес-процессами. В условиях ограниченной технической возможности  подключения просим Вас предоставить информацию о работниках, которым  необходима удаленная работа с сервисами ограниченного доступа.  По результатам тестирования системы нормы представительства увеличены:  от деканатов/дирекций - не более 3-х, от кафедр -не более 3-х, от административных подразделений - не более 7 пользователей.    Заполненную форму отправлять на адрес электронной почты 008404@pnu.edu.ru.    О дальнейших действиях по подключению будет сообщено по указанным в форме  контактным данным.;"Здравствуйте.  Настройте пожалуйста удаленный доступ к IBM Lotus для сотрудника отдела  аспирантуры Щербаковой Валентины Гавриловны. Учетная запись в ИАСУ ТОГУ  (логин)  VSherbakova. Для формирования ведомостей подключите ей базу Кадры  для просмотра.  С уважением, зав.аспирантурой Елена Шабельникова  (4212) 76-85-26 (доб 1014)=====Добрый день, уважаемые коллеги!    Прошу Вас внести следующие изменения в раздел ""Конкурс 2020-2021: обучение  с осеннего семестра"" раздела ""Студенческий обмен"" (  http://pnu.edu.ru/ru/ic/student/students-exchange/kontest-2020/ ):    1. После заголовка (Конкурс 2020-2021: обучение с осеннего с";2
